"","Comparison","Hazard Ratio [95% CI]"
"1","vaccinated vs unvaccinated","1.54 [0.8, 2.95]"
"2","vaccinated and boosted vs unvaccinated","0 [0, Inf]"
"3","vaccinated and boosted vs vaccinated","0 [0, Inf]"
