"","Comparison","Hazard Ratio [95% CI]"
"1","vaccinated vs unvaccinated","0.86 [0.74, 0.99]"
"2","vaccinated and boosted vs unvaccinated","0.81 [0.69, 0.95]"
"3","vaccinated and boosted vs vaccinated","0.94 [0.79, 1.13]"
