"","Comparison","Hazard Ratio [95% CI]"
"1","vaccinated vs unvaccinated","1.1 [0.91, 1.32]"
"2","vaccinated and boosted vs unvaccinated","0.7 [0.3, 1.65]"
"3","vaccinated and boosted vs vaccinated","0.64 [0.27, 1.54]"
