"","Comparison","Hazard Ratio [95% CI]"
"1","vaccinated vs unvaccinated","0.9 [0.87, 0.94]"
"2","vaccinated and boosted vs unvaccinated","0.87 [0.83, 0.91]"
"3","vaccinated and boosted vs vaccinated","0.96 [0.91, 1.01]"
