"","Comparison","Hazard Ratio [95% CI]"
"1","vaccinated vs unvaccinated","0.86 [0.75, 0.99]"
"2","vaccinated and boosted vs unvaccinated","0.77 [0.67, 0.9]"
"3","vaccinated and boosted vs vaccinated","0.89 [0.76, 1.06]"
